"Text","Date","Time","Draft","Brand name","Instagram","Picture Url 1","Picture Url 2","Picture Url 3","Picture Url 4","Picture Url 5","Picture Url 6","Picture Url 7","Picture Url 8","Picture Url 9","Picture Url 10","Instagram Post Type"
"Günün kavramı: Minnettarlık pratiği

Günde birkaç şey için teşekkür ettiğini bilinçli olarak not etme alışkanlığı.

Akşam üç iyi şey yaz. Bazı araştırmalar, düzenli minnettarlık alışkanlığının ruh hâlini iyileştirebildiğini gösterdi. Etki kişiden kişiye değişir, ama denemek maliyetsiz.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #minnettarlık #psikoloji #mutluluk #bilgi","2026-10-06","14:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_056_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Bu haftanın 5 kavramı

Kaydet, bir hafta sonra tekrar oku.

1. Odak yanılgısı
2. Değişken ödül
3. Bilişsel yük
4. Derin çalışma
5. İki düşünme sistemi

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#haftanın5i #gününkavramı #davranışbilimi #kişiselgelişim #kaydet","2026-10-06","16:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_056_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_056_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_056_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_056_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_056_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_056_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_056_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Hedefe yaklaşma etkisi

Bir hedefe yaklaştıkça çabamızı ve hızımızı artırma eğilimi.

10 damgalı kartın 8’inde olan müşteri, 2’sinde olandan daha sık gelir. Büyük hedefleri ara hedeflere bölmek bu etkiyi senin lehine çevirir.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #davranışbilimi #motivasyon #psikoloji #bilgi","2026-10-06","18:00:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_057_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Tartışmayı kazanmak mı, anlaşmak mı?

Çoğu tartışmada kimse dinlemez.

1. Önce anlat, sonra yanıtla
2. Soru sor, savunma yapma
3. Ortak noktayı bul
4. Kişiye değil, konuya odaklan
5. Ara ver

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#iletişim #ilişkiler #dinlemek #psikoloji #kaydet","2026-10-06","21:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_057_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_057_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_057_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_057_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_057_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_057_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_057_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Analiz felci

Çok fazla düşünüp analiz ederek karar verememe ve harekete geçememe hali.

Üç haftadır dört farklı yazılımı karşılaştırıyorsun, hâlâ seçmedin. Bu sürede tek birini deneseydin, çoğu şeyi öğrenirdin. Geri dönülebilir kararlarda hız, mükemmelin önüne geçer.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #kararverme #verimlilik #psikoloji #bilgi","2026-10-07","10:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_058_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Bir sunumu toparlamanın 5 kuralı

Slayt sayısı değil, mesaj sayısı önemli.

1. Tek mesaj seç
2. Slaytta cümle yazma
3. Rakamı büyüt
4. Son slayt: ne istiyorsun?
5. Bir kez yüksek sesle prova yap

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#sunum #işhayatı #iletişim #kariyer #kaydet","2026-10-07","12:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_058_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_058_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_058_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_058_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_058_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_058_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_058_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Tepki gösterme (reaktans)

Bir şeyi yasaklandığımızda ya da zorlandığımızda, onu daha çok isteme eğilimi.

“Bunu sakın açma” yazılı bir zarf, açılana kadar aklından çıkmaz. Çocuğa ya da çalışana “kesinlikle yapma” demek, çoğu zaman tersine sonuç verir. Seçenek sun, gerekçeyi anlat.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #davranışbilimi #psikoloji #iletişim #bilgi","2026-10-07","14:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_059_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Sahip olmanın gizli maliyeti

Satın alma fiyatı, toplamın sadece bir kısmıdır.

1. Toplam sahip olma maliyeti
2. Araba
3. Telefon
4. Küçük ev aletleri
5. Kural

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#kişiselfinans #bilinçlitüketim #bütçe #paraynetimi #kaydet","2026-10-07","16:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_059_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_059_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_059_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_059_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_059_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_059_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_059_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Yanlış fikir birliği

Kendi düşünce ve davranışlarımızın, diğer insanlarda da yaygın olduğunu varsayma eğilimi.

“Herkes böyle düşünür” diyen kişi, çoğu zaman sadece kendi çevresinin sesini duyuyor. İyi bir karar için farklı çevrelerden en az bir kişiye sor.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #davranışbilimi #psikoloji #kararverme #bilgi","2026-10-07","18:00:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_060_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Önemli mi, acil mi? Dört kutu

Her acil iş önemli değildir. Eisenhower matrisi.

1. Önemli ve acil: Hemen yap
2. Önemli ama acil değil: Planla
3. Acil ama önemli değil: Devret
4. Ne acil ne önemli: Bırak
5. Kural

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#eisenhower #zamanyönetimi #kararverme #verimlilik #kaydet","2026-10-07","21:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_060_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_060_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_060_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_060_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_060_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_060_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_060_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Duraklama

Bir tepki vermeden önce, bilerek birkaç saniye beklemek.

Öfkeli bir mesaj gelince hemen yazma. Nefes al, üçe kadar say, bir bardak su iç. Duygu ile hareket arasındaki küçük bir boşluk, çoğu zaman pişmanlığı önler.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #duygular #iletişim #kişiselgelişim #bilgi","2026-10-08","10:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_061_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Yeni şehre taşınırken ilk hafta listesi

Kutuları açmadan önce bunları hallet.

1. Adres değişikliği
2. Fatura ve abonelikler
3. En yakın kritik yerler
4. Komşularla tanış
5. İlk gün yatak odası
6. Yedek anahtar
7. Kısa bir yürüyüş

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#taşınma #yeniev #kontrolistesi #günlükhayat #kaydet","2026-10-08","12:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_061_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_061_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_061_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_061_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_061_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_061_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_061_1930_carousel/gorsel_7.png","https://iletisim-prog.github.io/gorseller/GUN_061_1930_carousel/gorsel_8.png","https://iletisim-prog.github.io/gorseller/GUN_061_1930_carousel/gorsel_9.png","","POST"
"Günün kavramı: Kumarbaz yanılgısı

Bağımsız olayların, geçmişte olanlara göre ‘sıra’ takip edeceğini sanmak.

Yazı-tura beş kez üst üste yazı geldi. Altıncı atışta tura gelme şansı hâlâ yarı yarıya. Para, geçmişi hatırlamaz. Piyasada, satışta ve sınavda da böyle: ‘Artık sıra bende’ diye bir şey yok.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #davranışbilimi #psikoloji #olasılık #bilgi","2026-10-08","14:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_062_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Mağazada müzik ve koku seni yönlendiriyor mu?

Atmosfer pazarlaması: ortam, davranışı etkileyebilir.

1. Ortam bir mesajdır
2. Müzik temposu
3. Koku
4. Işık
5. Ne yapmalı?

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#tüketici #pazarlama #alışveriş #davranışbilimi #kaydet","2026-10-08","16:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_062_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_062_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_062_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_062_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_062_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_062_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_062_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: İçsel ve dışsal motivasyon

İçsel: işin kendisinden keyif almak. Dışsal: ödül, para ya da onay için yapmak.

Kitap okumayı sevdiği için okuyan çocuğa her kitapta para verirsen, bir süre sonra para kesilince okumayı bırakabilir. Bazı durumlarda dışsal ödül, içsel keyfi bastırabilir.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #motivasyon #psikoloji #davranışbilimi #bilgi","2026-10-08","18:00:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_063_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Bu haftanın 5 kavramı

Kaydet, bir hafta sonra tekrar oku.

1. Hedefe yaklaşma etkisi
2. Analiz felci
3. Tepki gösterme
4. Yanlış fikir birliği
5. Kumarbaz yanılgısı

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#haftanın5i #gününkavramı #davranışbilimi #kişiselgelişim #kaydet","2026-10-08","21:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_063_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_063_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_063_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_063_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_063_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_063_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_063_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Pygmalion etkisi

Bir kişiden yüksek beklenti içinde olmak, o kişinin performansını yükseltebilir.

Yöneticisi ‘sen bu işi yaparsın’ diyen çalışan, çoğu zaman kendini de öyle görür. Bu bir garanti değil, bir eğilim. Ama beklentini yüksek ve destekleyici tutmak maliyetsizdir.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #liderlik #psikoloji #işhayatı #bilgi","2026-10-09","10:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_064_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
