"Text","Date","Time","Draft","Brand name","Instagram","Picture Url 1","Picture Url 2","Picture Url 3","Picture Url 4","Picture Url 5","Picture Url 6","Picture Url 7","Picture Url 8","Picture Url 9","Picture Url 10","Instagram Post Type"
"Beynin sana oynadığı 5 oyun

Kararlarını sandığın kadar sen vermiyorsun.

1. Onaylama yanlılığı
2. Kayıptan kaçınma
3. Mevcut durum yanlılığı
4. Çerçeveleme
5. Kıtlık etkisi

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#davranışbilimi #psikoloji #bilişselönyargı #kişiselgelişim #kaydet","2026-09-28","19:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_001_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_001_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_001_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_001_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_001_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_001_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_001_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Batık maliyet

Geri alamayacağın bir harcamayı, devam etmek için gerekçe yapmak.

Bilet aldın, film berbat. “Para verdim, kalkamam” diyorsun. Para zaten gitti. Geriye tek soru kaldı: bu iki saati nasıl geçirmek istiyorsun?

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #davranışbilimi #psikoloji #kişiselgelişim #bilgi","2026-09-29","08:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_002_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Toplantıdan önce sorulacak 5 soru

“Bu toplantı e-posta olabilirdi” diyorsan buradan başla.

1. Amaç tek cümlede ne?
2. Çıkışta hangi karar verilmiş olacak?
3. Kim şart, kim gereksiz?
4. Önceden okunacak bir şey var mı?
5. Bitince kim, ne yapacak, ne zamana kadar?

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#işhayatı #kariyer #verimlilik #toplantı #kaydet","2026-09-29","19:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_002_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_002_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_002_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_002_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_002_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_002_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_002_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Fırsat maliyeti

Bir şeyi seçtiğinde vazgeçtiğin en iyi alternatifin değeri.

Cumartesini dinlenmeye ayırmak “bedava” değildir. O gün çalışsaydın kazanacağın para, dinlenmenin bedelidir. Bu bedel değebilir, ama bilerek öde.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #paradüşüncesi #ekonomi #kişiselgelişim #bilgi","2026-09-30","08:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_003_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Farkında olmadan para akıtan 5 küçük tuzak

Büyük harcamalar değil, küçük ve düzenli olanlar.

1. Unutulan abonelikler
2. Asgari ödeme
3. Ücretsiz kargo eşiği
4. Taksit
5. Küçük günlük harcamalar

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#kişiselfinans #tasarruf #bütçe #paraynetimi #kaydet","2026-09-30","19:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_003_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_003_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_003_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_003_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_003_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_003_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_003_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Parkinson Yasası

İş, kendisine ayrılan süreyi dolduracak kadar genişler.

Rapora bir hafta verdin, hafta boyunca yazdın. Bir gün verseydin? Çoğu zaman aynı rapor çıkardı.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #verimlilik #işhayatı #kişiselgelişim #bilgi","2026-10-01","08:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_004_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Zor bir karar için 5 soru

Karar veremiyorsan sorun cesaret değil, soru olabilir.

1. Geri alınabilir mi?
2. 10 dakika, 10 ay, 10 yıl
3. En kötü senaryo ne?
4. Kimin sesini dinliyorum?
5. Bilgi yeterli mi?

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#kararverme #zihin #kişiselgelişim #düşünce #kaydet","2026-10-01","19:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_004_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_004_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_004_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_004_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_004_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_004_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_004_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Planlama yanılgısı

İşlerin ne kadar süreceğini hep olduğundan kısa tahmin ederiz.

“Yarım saatte biter” dediğin iş iki saat sürdü. Bu tembellik değil, insan zihninin standart hatası. Çözüm: benzer işin geçmişte gerçekte ne kadar sürdüğüne bak.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #davranışbilimi #verimlilik #psikoloji #bilgi","2026-10-02","08:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_005_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Yeni işe başlayanlar için ilk 30 gün listesi

Yeni işe başlıyorsan bunu kaydet.

1. Kim ne iş yapıyor öğren
2. Başarı nasıl ölçülüyor sor
3. Yazılı olmayan kuralları gözle
4. Sorularını biriktir
5. Küçük ve görünür bir iş bitir
6. Bilginin nerede durduğunu öğren
7. Ayın sonunda geri bildirim iste

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#kariyer #işhayatı #yeniişe #kaydet #iştavsiyesi","2026-10-02","19:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_005_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_005_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_005_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_005_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_005_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_005_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_005_1930_carousel/gorsel_7.png","https://iletisim-prog.github.io/gorseller/GUN_005_1930_carousel/gorsel_8.png","https://iletisim-prog.github.io/gorseller/GUN_005_1930_carousel/gorsel_9.png","","POST"
"Günün kavramı: Reel getiri

Enflasyondan sonra elde kalan gerçek kazanç.

Paran yılda %50 kazandırdı, enflasyon %60 olduysa reel getirin negatiftir: 1,50 ÷ 1,60 − 1 = −%6,25. Rakamlar varsayımdır, yatırım tavsiyesi değildir.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #finansalokuryazarlık #enflasyon #paraya #bilgi","2026-10-03","08:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_006_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
